Name,Party,Constituency,Date of Birth,Education,State,Term,Body
Musa Elayo Abdullahi,PDP,Awe/Doma/Keana,01/09/1959,Bachelor of Law Degree,Nassarawa,1999 - 2003,house
Samuel Azamu Egya,PDP,Nasarawa & Toto,01/05/1962,Ordinary National Diploma,Nassarawa,1999 - 2003,house
Saidu Isa,PDP,Mokwa/Lavun/Edati,01/07/1958,Professional Diploma in Mass Communication,Niger,1999 - 2003,house
Shehu Agaie,PDP,Agaie/Lapai,12/12/1958,HND in Animal Health & Husbandry,Niger,1999 - 2003,house
Peter Ndalikali Jiya,PDP,Bida/Gbako/Katcha,05/06/1958,Bachelor of Law Degree,Niger,1999 - 2003,house
Abdullahi Musa,PDP,Chanchaga,20/04/1964,Bachelors Degree (BSC) in Management Studies,Niger,1999 - 2003,house
Umar A. Ahmed,PDP,Rijau/Magama,01/06/1967,Bachelors Degree in Hausa,Niger,1999 - 2003,house
Babangida Umar,PDP,Kontagora Mariga Wushishi Mashegu,,HND,Niger,1999 - 2003,house
Abubakar Bawa Bwari,PDP,Gurara/Suleja/Tapa,11/11/1963,Masters Degree (MSC) in Urban and Regional Planning,Niger,1999 - 2003,house
Umaru Tanko Kuta,PDP,Shiroro/Rafi/Munya,03/07/1964,OND,Niger,1999 - 2003,house
Dan-Musa A. Alhassan,PDP,Agwara/Borgu,1959,HND in Nursing,Niger,1999 - 2003,house
Yakubu Salihu,PDP,Bosso/Paikoro,,,Niger,1999 - 2003,house
Kamaorun Alabi Odutan,AD,Egbado South & Ipokia,23/05/1955,HND in Secretarial Administration,Ogun,1999 - 2003,house
Onamusi Onadeko,AD,Ogun East,20/06/1960,HND in Petroleum Marketing,Ogun,1999 - 2003,house
Olabode Mustapha,AD,Abeokuta North/Odeba/ Obafemi-Owode,12/03/1950,Bachelors Degree in Business and Public Relations,Ogun,1999 - 2003,house
Olokun Babatunde,AD,"Remo (Sagamu, Ikeje, Remo North)",,"Doctoral Degree, Doctor of Jurisprudence in Law",Ogun,1999 - 2003,house
Collins Abayomi Sowande,AD,Ifo/Ewekopo,10/02/1950,"Bachelors Degree in Mech. Engineering, Petroleum Processing",Ogun,1999 - 2003,house
Amusa Suraj Adedeji,AD,Ijebu Ode/Odogbolu/ Ijebu North,09/09/1963,NCE in Business Education (Accountancy),Ogun,1999 - 2003,house
Ashamu Owolabi,AD,Imeko Afon/Yewa North,22/08/1963,SSCE Certificate,Ogun,1999 - 2003,house
Abraham Lanare Laoshe,AD,Abeokuta South,20/11/1956,Bachelors Degree in Agriculture,Ogun,1999 - 2003,house
Babwale Remi Rasheed,AD,Ado-Odo/Ota,17/11/1961,OND,Ogun,1999 - 2003,house
Akinnifesi Oladejo,AD,Ondo East/West,07/09/1957,Master of Business Administration Degree,Ondo,1999 - 2003,house
Sheba Abayomi,PDP,Irele/Okitipupa,02/03/1961,Masters Degree in Public Administration (MPA),Ondo,1999 - 2003,house
Fagbite Lawrence Akinyele,AD,Idanre/Ifedore,01/09/1937,NCE in Physical Health Education/English,Ondo,1999 - 2003,house
Rufus Akinwumi Omoseebi,AD,Akure North/South,02/07/1939,Associate Certificate in Education,Ondo,1999 - 2003,house
Busari Dada,AD,Akoko North East/ North West,,Bachelors Degree in Political Science,Ondo,1999 - 2003,house
Orimoloye Peter Saka,AD,Akoko South East/Akoko South West,27/12/1940,PH.D in Education,Ondo,1999 - 2003,house
Janet F. Ayo-Adeyemi,AD,Ile-Oluji Okeigbo/Odigbo,16/06/1959,Master Degree in Water and Waste Engineering,Ondo,1999 - 2003,house
Omotosho Michael,AD,Owo/Ose,10/08/1960,Masters Degree in Accounting,Ondo,1999 - 2003,house
Ishaq Adekola Alliyu,PDP,Ede North/South/Egbedore/Ejigbo,13/01/1959,Bachelor of Law Degree LL.B (Hons),Osun,1999 - 2003,house
Etteh Patrica Olubunmi,AD,Ayedaade/Isokan/ Irewole,17/08/1953,HND,Osun,1999 - 2003,house
Olugbenga Onigbogi,AD,"Atakumosa East/West, Ilesha East & West",18/11/1955,"B.Sc in Economics, ACA, FCA in Accountancy",Osun,1999 - 2003,house
Paul Oluyele Larinde,AD,Osogbo/Olorunda/ Irepodun/Orolu,04/06/1942,B.Sc (Hons) in Economics,Osun,1999 - 2003,house
Abioye Oyetunji,AD,Odo-Otin/Boripe/Ifelodun,12/04/1942,Bachelors Degree in Pharmacy,Osun,1999 - 2003,house
A. A. O. Idowu,AD,Boluwaduro/Ifedayo/Ila,12/12/1950,Ph.D in Educational Evaluation (Test & Measurement),Osun,1999 - 2003,house
Oluwatayo Rufas Idowu,AD,Obokun/Oriade,04/08/1947,Diploma in Law,Osun,1999 - 2003,house
Adewale Layade,AD,Ife/Cent/North/South & East/Local Govt.,18/02/1948,Bachelors Degree in Economics & Urban Plan,Osun,1999 - 2003,house
Kehinde Olufemi Lawrence,AD,Ayedire/Iwo/Ola-Oluwa,03/11/1959,Bachelor of Law Degree/LL.B (Hons) B.L,Osun,1999 - 2003,house
Ojegoke Rafiu Oladeni,AD,Ibarapa Central/ Ibarapa North,01/08/1958,HND in Building Technology,Oyo,1999 - 2003,house
Adeniyi Tajudeen Ademola,AD,Iseyin/Kajola/Iwujola/Itesiwaju,23/02/1963,Bachelors Degree in Law,Oyo,1999 - 2003,house
Lateef Durojaiye Gbadamosi,AD,Oluyole Local Govt.,21/06/1942,OND & Certificate in Nursery Education,Oyo,1999 - 2003,house
Sheik Mudathir Sekoni,AD,Irepo/Olurunssogo/ Dorelope,10/10/1953,HND Business Administration/ Management Studies,Oyo,1999 - 2003,house
Babatunde Oduyoye,AD,Ibadan North West/ South West,01/10/1963,Bachelors of Science Degree in Psychology,Oyo,1999 - 2003,house
Adebola Lateef Alli,AD,Lagelu/Akinyele,18/04/1943,Diploma in Mass Communications,Oyo,1999 - 2003,house
Taiwo Dale Oluwasegun,AD,Oyo Alafin,04/10/1958,Master Degree - Car Post Graduate Diploma in Journalism,Oyo,1999 - 2003,house
Adedeji Kazeem Adeshile,AD,Ibadan North-East/ South-East,February 22,Masters Degree in Philosophy,Oyo,1999 - 2003,house
Adekunle Jenrade Kareem,AD,Ona-Ara/Egbeda,03/07/1950,Masters Degree in Nutritional & Industrial Biochemistry,Oyo,1999 - 2003,house
Adibi Temilola Segun,AD,Ogbomosho/North/ South/Orire,30/04/1960,HND in Mining Engineering,Oyo,1999 - 2003,house
Alli Balogun,AD,Ibadan North,17/12/1941,Post Graduate Diploma in Journalism,Oyo,1999 - 2003,house
Folaranmi Oyebanji Simeon,PDP,Ogo-Oluwa/Surulere,16/04/1964,Bachelors Degree 2nd Class Upper Division in Philosophy,Oyo,1999 - 2003,house
Sanusi Sadiq Anwo,PDP,Ibarapa East/Ido,09/06/1938,CCA (1965),Oyo,1999 - 2003,house
Adesiyan Ajani Hussain,AD,Atisbo/Saki East/ Saki West,25/03/1967,HND Agronomy,Oyo,1999 - 2003,house
Barminas Ali Yilkes,PDP,Mangu/Bokkos,18/05/1955,Masters Degree in Feedmill Technology,Plateau,1999 - 2003,house
Lar Rampyal Victor,PDP,Langtang North & South,25/06/1961,Bachelors Degree in English,Plateau,1999 - 2003,house
Yero Bello Ibrahim,PDP,Wase,09/02/1962,NCE (Technical),Plateau,1999 - 2003,house
Daniel Sunday Dung,PDP,Jos South/East,08/02/1953,Diploma in Business Administration,Plateau,1999 - 2003,house
Isa Chungwom Song,PDP,Barkin Ladi/Riyom,04/06/1962,Master Degree in International Relations & Strategic studies,Plateau,1999 - 2003,house
"Damulak, J. Muhammed",PDP,Mikang/Quan/Pan/ Shendam,07/11/1963,Bachelor Degree in Civil Engineering,Plateau,1999 - 2003,house
Lumumba Dah Adeh,PDP,Bassa/Jos North,20/01/1962,HND in Civil Engineering,Plateau,1999 - 2003,house
Josiah Binuwai Gobum,PDP,Pankshin/Kanke/Kanam,26/02/1959,Bachelors Degree in Sociology,Plateau,1999 - 2003,house
Appolos E. Amadi,PDP,Ikwere/Emohua,24/10/1954,HND in Building Tech. & Architecture,Rivers,1999 - 2003,house
Austin Adiele Opara,PDP,Port Harcourt II,29/08/1963,(BSc.) in Marketing,Rivers,1999 - 2003,house
Young-Harry Adokiye,PDP,Asalga/Akulga,01/01/1961,Bachelor Degree in Political Science,Rivers,1999 - 2003,house
Tamunotonye Longjohn,PDP,Bonny/Degema,31/12/1957,Bachelor's Degree in Sociology,Rivers,1999 - 2003,house
Iwezor Jacob Nwala,PDP,Etche/Omuma,04/06/1946,Bachelor's of Law Degree & Master of Business Admin.,Rivers,1999 - 2003,house
Jefereys M. Owor,PDP,Adoni/Opobo/Nkoro,24/04/1954,Bachelor's Degree in History,Rivers,1999 - 2003,house
Wilson Asinobi Ake,PDP,Ahoada West/Ogba-Egbema-Ndoni,21/09/1955,Bachelor's Degree in Agric & Food Technology,Rivers,1999 - 2003,house
Mikko Bernard Barida,PDP,Khana/Gokana,07/05/1961,(BA) in Social Sciences (Politics),Rivers,1999 - 2003,house
Olaka Johnson Nwogu,PDP,Eleme/Tai/Oyigbo,26/01/1965,(MBA) in Management,Rivers,1999 - 2003,house
Oludi Edwin Ogouda,PDP,Obio/Akpor,,Secondary School Cert,Rivers,1999 - 2003,house
Promise I. T. Abibo,APP,Okrika/Ogu-Bolo,,Secondary School Cert,Rivers,1999 - 2003,house
Chibudom N. Nwuche,PDP,"Ahoaha East, Abua/Odual",30/09/1961,Bachelor of Law Degree,Rivers,1999 - 2003,house
Lasbry Amadi,PDP,Port/Harcourt,,Bachelor Degrees (BSC) in Mechanical Engineering,Rivers,1999 - 2003,house
Muhammed Arewa S.,APP,Gudu/Tangaza,1959,Secondary School Cert,Sokoto,1999 - 2003,house
Gatewa Sirajo Marafa,APP,Isa-Sabon-Birni,15/09/1957,Secondary School Cert.,Sokoto,1999 - 2003,house
Zakari Muh'd Shinaka,APP,Gorondo/Gada,30/06/1963,NCE,Sokoto,1999 - 2003,house
Zubairu S. Magori,PDP,Gwadaba/Illiza,1952,Secondary Sch. Ed. (GCE),Sokoto,1999 - 2003,house
Moh'd Arzika Tureta,PDP,Bodinga/Dange-Shuni/ Tureta,1959,Bachelor's of Education Degree Language Arts,Sokoto,1999 - 2003,house
Yabo Hassan Kiryo,PDP,Shagari/Yabo,1959,HND,Sokoto,1999 - 2003,house
Aliyu Umar Sanyinna,APP,Kebbe/Tabuwal,1954,GCE Advance Level,Sokoto,1999 - 2003,house
Ismaila Balarabe,APP,Sokoto South/North,20/03/1954,Grade II,Sokoto,1999 - 2003,house
Sule Yari Gandi,APP,Wurno/Rabah,21/05/1966,Master's Public Admin. (Under going MPA THESIS),Sokoto,1999 - 2003,house
Usman Mohammed,APP,Kware/Wamakko,15/05/1954,Master's Degree (MSC) in Economics,Sokoto,1999 - 2003,house
Dikko Mukhtar,ANPP,Binji/Silame,,Cert. in Salesmanship,Sokoto,1999 - 2003,house
Kuriya Tafarki Auta,PDP,Kurmi/Sardauna/ Gashaka,1960,Bachelor of Ed. Degree,Taraba,1999 - 2003,house
Khani Taura Titus,PDP,Karim Lamido/ Lau/Ardokola,12/07/1940,OND,Taraba,1999 - 2003,house
Abduleez Tonku,APP,Donga-Takun-Ussa,04/04/1952,HND in Agric Econs,Taraba,1999 - 2003,house
Dantani Sunswa,PDP,Ibi-Wukari,16/11/1964,OND,Taraba,1999 - 2003,house
Al-Hassan Al-Gaddas,PDP,Jalingo/Yorro/Zing,1965,HND/ADPA in Public Admin,Taraba,1999 - 2003,house
Dahiru Bako Gassol,PDP,Bali/Gassol,16/06/1955,HND in Community Health,Taraba,1999 - 2003,house
Jibrin Babale,PDP,Gulani/Gujba/ Damaturu/Tarmuwa,13/04/1960,Teacher Training College,Yobe,1999 - 2003,house
Suleiman Isiyaku,PDP,Fika/Fune,02/03/1964,Bachelor Degree in Econs,Yobe,1999 - 2003,house
Hassan Jonga,APP,Nangere/Potiskum,28/11/1960,HND (Soil & Water Eng),Yobe,1999 - 2003,house
Ahmad I. Lawan,APP,Bade/Jakusko,,Ph.D in Remote Sensing,Yobe,1999 - 2003,house
Almajir Geidam,APP,Bursari/Geidam/ Yunusari,16/01/1962,Doctor of Veterinary Med.,Yobe,1999 - 2003,house
Bello Shugaba,APP,Yusufari/Nguru/ Machina & Karasuwa,12/06/1967,OND in Public Admin.,Yobe,1999 - 2003,house
Sani Ibrahim R. Doruwa,APP,Bungudu/Maru,25/08/1965,Bachelor Degree in Botany,Zamfara,1999 - 2003,house
Bello Abubakar Moriki,APP,Zurmi/Shinkafi,26/03/1957,HND in Civil Eng/Transp,Zamfara,1999 - 2003,house
Lawali Ibrahim Godal,APP,Kaura Namoda/ Birni Magaji,January 1962,NCE,Zamfara,1999 - 2003,house
Makwashi Abubakar,APP,Bakura/Maradun,12/06/1946,NCE,Zamfara,1999 - 2003,house
Mohammed Sani,ANPP,Tsafe/Gusau,October 1951,Secondary School Cert.,Zamfara,1999 - 2003,house
Sahabi Aliyu,APP,Gummi/Bukkuyum,01/10/1960,Bachelor Degree in Ed (Arts),Zamfara,1999 - 2003,house
Sani Anka Mohammed,PDP,Anka/Mafara,04/08/1958,Diploma in Law,Zamfara,1999 - 2003,house
Yususf Usman B.,PDP,Kwali/ Gwagwalada/ Kuje and Abaji,09/09/1961,Master Degree in Agric. Business,Federal Capital Territory,1999 - 2003,house
Ukachukwu Nicholas,PDP,Bwari/Abuja Municipal,20/04/1960,Master in Bus. Admin.,Federal Capital Territory,1999 - 2003,house
Atuma Emeka,PDP,Ikwuano/Umuhia North/South,"January, 1969",WASC. Bsc Estate Management,Abia,2003 - 2007,house
Chief Mba Ajah,PDP,Bende,"January, 1961",M.B.A (Finance & Banking),Abia,2003 - 2007,house
Uchechukwu N. Maduako,PDP,Isuikwato/Munneochi,"February, 1960",Master Degree in Business Admin. & B.sc,Abia,2003 - 2007,house
Mao Arukwe Ohuabunwa,PDP,Arochukwu/Ohafia,"May, 1957","Post Graduate Diploma in Public Adm, Bachelor of Tech.",Abia,2003 - 2007,house
Nnanna Uzor,AD,Aba North/South,"May, 1964",WASC.,Abia,2003 - 2007,house
Macebuh Chinonyerem,PDP,Ukwa East/ Ukwa West,"July, 1956",Master of Science in Economics,Abia,2003 - 2007,house
Anayo D. Ozurumba,PDP,Isiala Ngwa North/ South,"October, 1954",B.sc Hons in Govt. Public Administration.,Abia,2003 - 2007,house
Nkechi Nwaogu,ANPP,Obingwa/Osisioma/ Ugwunagbo,"May, 1956",MSC Management Studies,Abia,2003 - 2007,house
Dahiru Bornoma,ANPP,Yola North/South Girei,"December, 1966",Bachelor of Science Degree (Education) in Botany,Adamawa,2003 - 2007,house
Ahmed Hassan B.,PDP,Guyuk/Shelleng,"February, 1960",National Diploma (OND),Adamawa,2003 - 2007,house
Anthony L. Madwate,PDP,Demsa/Lamurde/ Numan,"June, 1955",Master Degree (MSC) in Industrial Engineering,Adamawa,2003 - 2007,house
Atiwurcha Albert Sylvanus,,Gombi/Hong,"June, 1968",Bachelor of Science in Pharmacy,Adamawa,2003 - 2007,house
Nuhu Bobbo Gurin,PDP,Fufore/Song,"March, 1958",B.sc Hons. Sociology & Social Anthropology,Adamawa,2003 - 2007,house
Gella Ahmed Njidda,PDP,Mubi North/South Mahia,29/09/1957,Diploma,Adamawa,2003 - 2007,house
Babale N. Martins,PDP,Jada/Ganye/Toungo/M'Belwa,"June, 1958",Post Graduate Diploma in Business Administration,Adamawa,2003 - 2007,house
Bala James Ngilari,PDP,Michika/Madagali South/Maiha,"December, 1953",L.L.B (Hons) B.L.,Adamawa,2003 - 2007,house
Emah Bassey,NDP,Etinan,21/06/1966,Bachelor of Law Degree,Akwa Ibom,2003 - 2007,house
Ubong D. Etiebet,ANPP,Ukanafun/Orukanam,"June, 1964",Bachelor of Science,Akwa Ibom,2003 - 2007,house
Enang Ita Solomon James,PDP,Itu/Ibiono Ibom,"December, 1962",Bachelor of Law,Akwa Ibom,2003 - 2007,house
Nsini Akpan Umossoh,PDP,Iko Ekpene,"January, 1954",Bachelor of Law,Akwa Ibom,2003 - 2007,house
Nduese Essien,PDP,"Eket, Onna, Esit Eket, Ibeno","February, 1944",B.SC (Hons) Business Admin,Akwa Ibom,2003 - 2007,house
Benard Udoh,PDP,Mkpat/Enin/Ikot Abasi/ Eastern Obolo,"October, 1962",Higher National Diploma,Akwa Ibom,2003 - 2007,house
Esio Oquong Udoh,PDP,Oron/Bo/Okobo/Udung Uko Urue Offiong-Oruko,"April, 1953","M.B; M.CH (NIG.) MBA, PH.D",Akwa Ibom,2003 - 2007,house
Iquo Inyang Minimah,PDP,Ikono/Ini,"September, 1965",Bachelor of Law Degree,Akwa Ibom,2003 - 2007,house
Ezekiel A. Anaka,PDP,Abak/Etim Ekpo/Ika,"July, 1964",Bachelor of Science,Akwa Ibom,2003 - 2007,house
Bassey Etim,PDP,Uyo,"September, 1963",Master of Science,Akwa Ibom,2003 - 2007,house
Harry Oranezi,PDP,Nnewi North/South/ Ekwusigo,"January, 1967",M.B.B.S,Anambra,2003 - 2007,house
Balonwu Jessie,PDP,Onitsha North/South,"August, 1951",Bachelor of Law Degree (L.L.B),Anambra,2003 - 2007,house
Ugochukwu Nedu,PDP,Orumba North/South,"May, 1966",Bachelor of Science in Accountancy,Anambra,2003 - 2007,house
Jerry Sonny Ugokwe,PDP,Idemili North/South,"April, 1957",PH.D,Anambra,2003 - 2007,house
Ughanze Nnnaemeka C.,PDP,Oyi/Ayamelum,"August, 1958",Bachelor of Law Degree,Anambra,2003 - 2007,house
Nzeribe Chuma M.,PDP,Ihiala,"September, 1959",HND in Accounting,Anambra,2003 - 2007,house
Christian Okey Enemuo,PDP,Aguata,"December, 1957",Doctorate Degree,Anambra,2003 - 2007,house
Ozodinobi G. Ibezimako,APGA,Njikoka/Anaocha/ Dunukofia,"March, 1957",B.SC (Finance),Anambra,2003 - 2007,house
Chudi Offodile,PDP,Akwa North/South,"November, 1964","LLB (Hons), BL, PGD in Marketing",Anambra,2003 - 2007,house
Okeke Raphael,PDP,Anambra East/West,10/03/1960,Bachelor's Degree in Public Administration,Anambra,2003 - 2007,house
Okwudili Uzoka,,Ogharu,"November, 1942","B.Sc. in Agric, Economics",Anambra,2003 - 2007,house
Farouk Mustapha,PDP,Katagum,"April, 1965",Master of Business Admin.,Bauchi,2003 - 2007,house
Seth Alhassan Karfe,PDP,Dass/Tafawa Balewa/Bogoro,"December, 1955",HND in Building,Bauchi,2003 - 2007,house
Mohammed K. Labaran,PDP,Darazo/Ganjuwa,"August, 1952",Diploma in Accounting,Bauchi,2003 - 2007,house
Bala Abdullahi,PDP,Misau/Dambah,,National Certificate in Education,Bauchi,2003 - 2007,house
Dikko M. Samaila,PDP,Alkaleri/Kirfi,"November, 1957",National Certificate in Education,Bauchi,2003 - 2007,house
Modibbo A. Ahmed,PDP,Jama'are/Itas Gadau,"March, 1968",National Diploma in Accountancy,Bauchi,2003 - 2007,house
Lawan Shehu Rimi,PDP,Toro,"May, 1964",Bachelor of Science Degree in Business Administration,Bauchi,2003 - 2007,house
Abdul Ahmed Ningi,PDP,Ningi/Warji,"April, 1960",Bachelor of Science Degree in Sociology,Bauchi,2003 - 2007,house
S. Nazif,PDP,Gamwa,"April, 1970",Bachelor Degree in Engineering,Bauchi,2003 - 2007,house
Hamisu Mu'azu Shira,PDP,Shira/Giade,"October, 1959",Bachelor of Science in Business Admin.,Bauchi,2003 - 2007,house
Omar A. Tata,,Zaki,,,Bauchi,2003 - 2007,house
C. F. Enai,PDP,Sagbama/Ekeremor,"January, 1955",Advance Diploma in Public Administration,Bayelsa,2003 - 2007,house
Indiama O. Bolous Sylva,PDP,Yenagoa/Kolokuma,"January, 1965",Master of Business Admin. In Management,Bayelsa,2003 - 2007,house
Clever Marcus Ikisikpo,PDP,Ogbia,"December, 1960",Bachelor of Education Degree,Bayelsa,2003 - 2007,house
Youpele M. Kalango,PDP,Brass/Nembe,"April, 1959",Master Degree in Business Administration,Bayelsa,2003 - 2007,house
Ebikekeme F. Ere,APGA,Southern Ijaw,"August, 1960",College for Financial Planners (CFP) Certificate,Bayelsa,2003 - 2007,house
Ogah Agbo,UNPP,Ohimiri/Otukpo,December 1958,,Benue,2003 - 2007,house
Aondona S.F.C Adzuana,UNPP,Vandeikya/Koshisha,January 1968,Professional Secretary,Benue,2003 - 2007,house
Atii Terfa,ANPP,Kwande/Ushongo,November 1964,Advanced Diploma in Personnel Management,Benue,2003 - 2007,house
Agidani Solomon Umoru,PDP,Apa/Agatu,December 1958,Bachelor of Science in Building and Master of Science in Construction,Benue,2003 - 2007,house
Upaa C. Tivnongu Kinga,PDP,Makurdi-Guma,July 1948,ACCA (Level II),Benue,2003 - 2007,house
Tsegba Tergu,PDP,Gboko/Yarka,"March, 1963",Post Graduate Diploma in Management,Benue,2003 - 2007,house
Simon S. Aondona,PDP,Gwer/Gwer West,April 1947,Bachelor Degree in Law,Benue,2003 - 2007,house
Gabriel Torwua Suswan,PDP,Katsina Ala/Ukum/Logo,,Bachelor Degree in Law,Benue,2003 - 2007,house
Idikwu Altine Oga,PDP,Oju/Obi,January 1960,National Diploma in Bus.,Benue,2003 - 2007,house
Nev Tarhule,PDP,Buruku,September 1956,Masters in Business Admin.,Benue,2003 - 2007,house
Idoko Onobi David,PDP,Ado/Ogbadigbo/ Okpokwu,June 1960,Bachelor of Science Degree,Benue,2003 - 2007,house
Tijani Umara Kumaila,PDP,Marje/Monguno/ Nganzai,December 1946,Diploma in Personnel Management,Borno,2003 - 2007,house
Fanta Baba Shehu,PDP,Gubio/Magumeri/ Kaga,1966,Masters in Business Management,Borno,2003 - 2007,house
Ishaku Joshua Sharah,AD,Askira/Uba-Hawul,December 1960,B.Sc Pharmacy,Borno,2003 - 2007,house
Modu Alhaji Musa,AD,Kukawa Abadam/ Mobbar Guzamala,1958,Dip. in Local Govt. Admin.,Borno,2003 - 2007,house
Mohammed U. Kumaila,ANPP,Maiduguri Metro Politan,September 1967,Bachelor of Law Degree,Borno,2003 - 2007,house
Baba Gana Tijani,ANPP,Bama/Ngala/ Kala-Balge,June 1962,Advance Diploma in Public Administration,Borno,2003 - 2007,house
Mohammad B. Lawan,ANPP,Jere,November 1962,Master Degree in Business Administration,Borno,2003 - 2007,house
Mohammed A. Ndume,ANPP,Damboa/Gwoza/ Chibok,November 1959,Masters Degree in Education,Borno,2003 - 2007,house
Haruna Yerima,ANPP,Biu/Kwaya/Bayo/Shani,November 1959,Doctor of Philosophy in Political Science,Borno,2003 - 2007,house
Mustapha Alkali Gajibo,ANPP,Dikwa/Mafa/Koduga,February 1950,Bachelor Degree in Electrical/Electronic Engineering,Borno,2003 - 2007,house
Adahi P. Andeshi,PDP,Bekwarra/Obudu/ Obanliku,26/09/1960,Masters in Education (M.ED) Bachelor of Arts (B.A. Ed),Cross River,2003 - 2007,house
Enoh John Enoh Owan,PDP,Obubra Etung,June 1966,"M.Sc in Demography, M.Sc in Bus. Admin.",Cross River,2003 - 2007,house
Edward Eta Ogon,PDP,Ikom/Boki,February 1963,"B.A (Hons) Law, BL",Cross River,2003 - 2007,house
Peter Leja Igbodor,PDP,Ogoja Iyala,July 1962,Bachelor of Science Degree in Political Sc.,Cross River,2003 - 2007,house
Bassey Edet Out,PDP,Calabar/Odukpani,October 1959,Bachelor of Science in Sociology,Cross River,2003 - 2007,house
Essien Ekpeyong Agi,PDP,Akpabuyo/Bakassi/ Calabar,October 1956,Bachelor of Science,Cross River,2003 - 2007,house
Pastor Alex Ikor Akam,PDP,Biase/Akampa,October 1960,Bachelor of Science (Ed.) Degree in Law,Cross River,2003 - 2007,house
Obeton Okon Obeten,PDP,Yakurr/Abi,October 1956,Bachelor of Law,Cross River,2003 - 2007,house
Gbinije O. Napoleon,PDP,Okpe/Sapele/Uvwie,July 1966,Degree and OND,Delta,2003 - 2007,house
Ogor L. Okuweh,PDP,Isoko North/South,June 1959,AIBI Qualification,Delta,2003 - 2007,house
John Halims O. Agoda,PDP,Ethiope,January 1962,"Bachelor's Degree in Law, Barrister at Law",Delta,2003 - 2007,house
Temi Harriman,PDP,Warri,January 1963,Master in Business Admin.,Delta,2003 - 2007,house
Tamarautare Brisibe,PDP,Burutu,April 1954,Bachelor of Science Degree in Economics,Delta,2003 - 2007,house
Mercy Almona-Isei JP,PDP,Ndokwa/Ukwani,"August 24, 1951",Masters Degree (MA) in Mass Communication,Delta,2003 - 2007,house
Mutu Nicholas Ebomo,PDP,Bomadi/Patani,June 1960,Bachelors Degree in Business,Delta,2003 - 2007,house
Ojougboh Cairo,PDP,Ika,September 1959,MBBS,Delta,2003 - 2007,house
Adigwe Lord-Michael,PDP,Aniocha Oshimili,August 1965,Bachelor of Science in Statistics,Delta,2003 - 2007,house
Chris O. Chiovwen,PDP,Ughelli/Udu,July 1958,MBBS,Delta,2003 - 2007,house
Ibom Irem Oka,PDP,Afikpo North/South,April 1961,B.Sc (Hons) Economic,Ebonyi,2003 - 2007,house
Aroh Eusebius Aroh,PDP,Ohaozara/Onicha/Ivo,March 1963,B.Sc (in View),Ebonyi,2003 - 2007,house
Jonathan I. Eze,PDP,Ezza North/Ishielu,March 1962,"AIMLS, Clinical Microbiology",Ebonyi,2003 - 2007,house
Nwofe Alexander,PDP,Abakaliki/Izzi,August 1961,"Bachelors Degree in Law, Barrister at Law",Ebonyi,2003 - 2007,house
Elem Nwigboji Francis,ANPP,Ezza South/Ikwo,July 1962,B.Sc (Hons.) Statistics,Ebonyi,2003 - 2007,house
Ogodo Patience Uwa,PDP,Ebonyi/Ohaukwu,November 1958,National Certificate in Ed.,Ebonyi,2003 - 2007,house
Aziegbemi Anthony,PDP,Esan South East/North,September 1958,Doctor of Philosophy in Economics,Edo,2003 - 2007,house
Abubakar E. Momoh,PDP,Etsako,November 1959,"Bachelor of Engineering, Masters in Public Admin.",Edo,2003 - 2007,house
Jim Ajiku Adun,PDP,Egor/Ikpoba-Okha,April 1946,"Military Pilot, Passed Staff College German Air force,",Edo,2003 - 2007,house
Oroh Abdul Shaibu,PDP,Owan,August 1960,Masters of Arts in Mass Communication,Edo,2003 - 2007,house
Tunde Akogun,PDP,Akoko-Edo,July 1941,Member of the National Institute (MNI),Edo,2003 - 2007,house
Gabriel Ehimen Oiboh,PDP,Esan Central/West/Igueben,November 1953,Bachelor of Pharmacy,Edo,2003 - 2007,house
Odubu E. Pius,PDP,Orhionmwon/ Uttumwode,July 1957,Doctorate Degree in Jurisprudence,Edo,2003 - 2007,house
West-Idahosa Ehiogie,PDP,Ovia North-East/ South-West,January 1963,Bachelor of Law Degree LL.B,Edo,2003 - 2007,house
Emmanuel Arigbe-Osula,ANPP,Oredo,December 1965,Master of Business Admin.,Edo,2003 - 2007,house
Yemi Arokodare,PDP,Ekiti Central II,February 1961,Degree in Economics,Ekiti,2003 - 2007,house
Akindahunsi Titilayo,PDP,Ekiti South II,November 1940,Bachelor of Art Degree in Education,Ekiti,2003 - 2007,house
Faseyi Samuel Duro,PDP,Ekiti North II,April 1956,Master Degree in Business Admin.,Ekiti,2003 - 2007,house
Samuel O. Adeyemi,PDP,Ekiti Central I,March 1943,Higher National Diploma,Ekiti,2003 - 2007,house
Talabi Abiodun Ajayi,PDP,Ekiti South I,December 1959,Masters of Business Admin.,Ekiti,2003 - 2007,house
Dada Olufemi Adebayo,AD,Ekiti North I,April 1956,Masters in Science & Master in Business Admin.,Ekiti,2003 - 2007,house
K. G. B. Oguakwa,PDP,Aninri/Awgu/Oji-River,July 1966,Bachelor of Law Degree,Enugu,2003 - 2007,house
Igwesi U. S. A.,PDP,Nkanu East/West,August 1960,"Bachelor of Science, Master of Science Degree",Enugu,2003 - 2007,house
Ogbuefi Ozombachi,PDP,Udi/Ezeagu,January 1961,Bachelor of Art & Master of Art Degree,Enugu,2003 - 2007,house
